Date,Name,Year,Letterboxd URI,Rating,Tags,Watched Date
2017-06-18,Beauty and the Beast,1946,https://letterboxd.com/jojonium/film/beauty-and-the-beast/,4,,2017-06-17
2017-06-18,Network,1976,https://letterboxd.com/jojonium/film/network/,5,,2017-06-17
2017-06-19,Das Boot,1981,https://letterboxd.com/jojonium/film/das-boot/,5,,2017-06-18
2017-06-19,The Life Aquatic with Steve Zissou,2004,https://letterboxd.com/jojonium/film/the-life-aquatic-with-steve-zissou/,4.5,,2017-06-18
2017-06-19,Blame!,2017,https://letterboxd.com/jojonium/film/blame-2017/,2.5,netflix,2017-06-18
2017-06-24,The Royal Tenenbaums,2001,https://letterboxd.com/jojonium/film/the-royal-tenenbaums/,4.5,,2017-06-21
2017-06-24,The Secret Life of Pets,2016,https://letterboxd.com/jojonium/film/the-secret-life-of-pets/,1,,2017-06-21
2017-06-24,The Sixth Sense,1999,https://letterboxd.com/jojonium/film/the-sixth-sense/,4,,2017-06-22
2017-06-24,Haunter,2013,https://letterboxd.com/jojonium/film/haunter/,3,,2017-06-22
2017-07-01,AM1200,2008,https://letterboxd.com/jojonium/film/am1200/,3,,2017-06-30
2017-08-06,Full Metal Jacket,1987,https://letterboxd.com/jojonium/film/full-metal-jacket/,5,Camp,2017-07-12
2017-09-26,Redline,2009,https://letterboxd.com/jojonium/film/redline-2009/,4.5,camp,2017-07-13
2017-08-06,Rushmore,1998,https://letterboxd.com/jojonium/film/rushmore/1/,4.5,camp,2017-08-02
2017-08-06,The Phantom of the Opera,2004,https://letterboxd.com/jojonium/film/the-phantom-of-the-opera-2004/,4,camp,2017-08-03
2017-08-15,Chicago,2002,https://letterboxd.com/jojonium/film/chicago/,4.5,camp,2017-08-13
2017-08-15,Alien: Covenant,2017,https://letterboxd.com/jojonium/film/alien-covenant/,3,,2017-08-14
2017-08-25,Code Geass: Akito the Exiled 1: The Wyvern Arrives,2012,https://letterboxd.com/jojonium/film/code-geass-akito-the-exiled-1-the-wyvern-arrives/,3,,2017-08-19
2017-08-25,Code Geass: Akito the Exiled 2: The Wyvern Divided,2013,https://letterboxd.com/jojonium/film/code-geass-akito-the-exiled-2-the-wyvern-divided/,3,,2017-08-23
2017-08-27,Enter the Void,2009,https://letterboxd.com/jojonium/film/enter-the-void/,4.5,,2017-08-26
2017-08-28,"Sherlock, Jr.",1924,https://letterboxd.com/jojonium/film/sherlock-jr/,3.5,youtube,2017-08-27
2017-08-29,Code Geass: Akito the Exiled 3: The Brightness Falls,2015,https://letterboxd.com/jojonium/film/code-geass-akito-the-exiled-3-the-brightness-falls/,3.5,,2017-08-28
2017-08-29,Police Story,1985,https://letterboxd.com/jojonium/film/police-story/,4,,2017-08-28
2017-09-01,Green Room,2015,https://letterboxd.com/jojonium/film/green-room/,3,,2017-08-29
2017-09-01,A Dark Song,2016,https://letterboxd.com/jojonium/film/a-dark-song/,4,,2017-08-29
2017-09-01,Prince of Darkness,1987,https://letterboxd.com/jojonium/film/prince-of-darkness/,3.5,,2017-08-31
2017-09-04,Dagon,2001,https://letterboxd.com/jojonium/film/dagon/,3,,2017-09-04
2017-09-05,Code Geass: Akito the Exiled 4: Memories of Hatred,2015,https://letterboxd.com/jojonium/film/code-geass-akito-the-exiled-4-memories-of-hatred/,3,,2017-09-04
2017-09-06,The World's End,2013,https://letterboxd.com/jojonium/film/the-worlds-end/,4,,2017-09-05
2017-09-09,House,1977,https://letterboxd.com/jojonium/film/house/,3.5,,2017-09-06
2017-09-10,Kizumonogatari Part 3: Reiketsu,2017,https://letterboxd.com/jojonium/film/kizumonogatari-part-3-reiketsu/,5,,2017-09-09
2017-09-10,My Dinner with André,1981,https://letterboxd.com/jojonium/film/my-dinner-with-andre/,4.5,,2017-09-09
2017-09-11,One Point O,2004,https://letterboxd.com/jojonium/film/one-point-o/,2.5,,2017-09-10
2017-09-12,Exam,2009,https://letterboxd.com/jojonium/film/exam/,2.5,,2017-09-11
2017-09-13,Code Geass: Akito the Exiled 5: To Beloved Ones,2016,https://letterboxd.com/jojonium/film/code-geass-akito-the-exiled-5-to-beloved-ones/,1,,2017-09-12
2017-09-15,Carnage,2011,https://letterboxd.com/jojonium/film/carnage/,4,,2017-09-14
2017-09-16,Baby Driver,2017,https://letterboxd.com/jojonium/film/baby-driver/,3.5,beta,2017-09-15
2017-09-17,The Autopsy of Jane Doe,2016,https://letterboxd.com/jojonium/film/the-autopsy-of-jane-doe/,2,,2017-09-16
2017-09-19,American Beauty,1999,https://letterboxd.com/jojonium/film/american-beauty/,5,,2017-09-18
2017-09-22,Stargate,1994,https://letterboxd.com/jojonium/film/stargate/,3.5,,2017-09-21
2017-09-23,The Prestige,2006,https://letterboxd.com/jojonium/film/the-prestige/,4,beta,2017-09-22
2017-09-24,Event Horizon,1997,https://letterboxd.com/jojonium/film/event-horizon/,3.5,,2017-09-23
2017-09-25,Anti Matter,2016,https://letterboxd.com/jojonium/film/anti-matter/,3,,2017-09-24
2017-09-26,The Borderlands,2013,https://letterboxd.com/jojonium/film/the-borderlands/,3,,2017-09-25
2017-09-26,Her,2013,https://letterboxd.com/jojonium/film/her/,5,,2017-09-25
