Date,Name,Year,Letterboxd URI
2017-10-12,The Rocketeer,1991,https://letterboxd.com/film/the-rocketeer/
2017-10-13,Creepshow,1982,https://letterboxd.com/film/creepshow/
2017-10-14,The Bridge,2006,https://letterboxd.com/film/the-bridge-2006/
2017-10-16,Mimic,1997,https://letterboxd.com/film/mimic/
2017-10-16,Cronos,1993,https://letterboxd.com/film/cronos/
2017-10-16,Once Upon a Time in the West,1968,https://letterboxd.com/film/once-upon-a-time-in-the-west/
2017-10-16,A Fistful of Dollars,1964,https://letterboxd.com/film/a-fistful-of-dollars/
2017-10-16,For a Few Dollars More,1965,https://letterboxd.com/film/for-a-few-dollars-more/
2017-10-17,Yojimbo,1961,https://letterboxd.com/film/yojimbo/
2017-10-17,The Battery,2012,https://letterboxd.com/film/the-battery-2012/
2017-10-17,Pi,1998,https://letterboxd.com/film/pi/
2017-10-18,I Stand Alone,1998,https://letterboxd.com/film/i-stand-alone/
2017-10-18,The Conversation,1974,https://letterboxd.com/film/the-conversation/
2017-10-18,Who Killed Captain Alex?,2010,https://letterboxd.com/film/who-killed-captain-alex/
2017-10-18,Dark Star,1974,https://letterboxd.com/film/dark-star/
2017-10-19,Logan's Run,1976,https://letterboxd.com/film/logans-run/
2017-10-22,Lifeboat,1944,https://letterboxd.com/film/lifeboat/
2017-10-22,The Ring,2002,https://letterboxd.com/film/the-ring-2002/
2017-10-23,The Day the Earth Stood Still,1951,https://letterboxd.com/film/the-day-the-earth-stood-still/
2017-10-23,Fire in the Sky,1993,https://letterboxd.com/film/fire-in-the-sky/
2017-10-23,Seven Chances,1925,https://letterboxd.com/film/seven-chances/
2017-10-23,RoboCop,1987,https://letterboxd.com/film/robocop/
2017-10-23,The Seventh Continent,1989,https://letterboxd.com/film/the-seventh-continent/
2017-10-23,District 9,2009,https://letterboxd.com/film/district-9/
2017-10-24,Esoteric Agenda,2008,https://letterboxd.com/film/esoteric-agenda/
2017-10-25,The Orphanage,2007,https://letterboxd.com/film/the-orphanage/
2017-10-25,The Grudge,2004,https://letterboxd.com/film/the-grudge/
2017-10-25,The Final Countdown,1980,https://letterboxd.com/film/the-final-countdown/
2017-10-26,What in the World Are They Spraying?,2010,https://letterboxd.com/film/what-in-the-world-are-they-spraying/
2017-10-26,Pulse,2001,https://letterboxd.com/film/pulse-2001/
2017-10-26,The 10th Victim,1965,https://letterboxd.com/film/the-10th-victim/
2017-10-26,Dog Day Afternoon,1975,https://letterboxd.com/film/dog-day-afternoon/
2017-10-27,Hunt for the Wilderpeople,2016,https://letterboxd.com/film/hunt-for-the-wilderpeople/
2017-10-27,Crash,1996,https://letterboxd.com/film/crash/
2017-10-27,Scanners,1981,https://letterboxd.com/film/scanners/
2017-10-27,Ghostwatch,1992,https://letterboxd.com/film/ghostwatch/
2017-10-27,Zero Day,2003,https://letterboxd.com/film/zero-day/
2017-10-28,Alps,2011,https://letterboxd.com/film/alps/
2017-10-28,Thief,1981,https://letterboxd.com/film/thief/
2017-10-28,Halloween,1978,https://letterboxd.com/film/halloween-1978/
2017-10-28,The Fourth Kind,2009,https://letterboxd.com/film/the-fourth-kind/
2017-10-28,The Decalogue,1989,https://letterboxd.com/film/the-decalogue/
2017-10-28,The Lawnmower Man,1992,https://letterboxd.com/film/the-lawnmower-man/
2017-10-30,Phone Booth,2002,https://letterboxd.com/film/phone-booth/
2017-10-30,Satantango,1994,https://letterboxd.com/film/satantango/
2017-10-30,Repulsion,1965,https://letterboxd.com/film/repulsion/
2017-11-02,Runaway Train,1985,https://letterboxd.com/film/runaway-train/
2017-11-05,Lady Bird,2017,https://letterboxd.com/film/lady-bird/
2017-11-05,"Three Billboards Outside Ebbing, Missouri",2017,https://letterboxd.com/film/three-billboards-outside-ebbing-missouri/
2017-11-05,The Florida Project,2017,https://letterboxd.com/film/the-florida-project/
2017-11-05,World on a Wire,1973,https://letterboxd.com/film/world-on-a-wire/
2017-11-05,Dracula: Dead and Loving It,1995,https://letterboxd.com/film/dracula-dead-and-loving-it/
2017-11-09,The Occupation of the American Mind,2016,https://letterboxd.com/film/the-occupation-of-the-american-mind/
2017-11-10,Dazed and Confused,1993,https://letterboxd.com/film/dazed-and-confused/
2017-11-10,The Skin I Live In,2011,https://letterboxd.com/film/the-skin-i-live-in/
2017-11-10,Irreversible,2002,https://letterboxd.com/film/irreversible/
2017-11-10,I Saw the Devil,2010,https://letterboxd.com/film/i-saw-the-devil/
2017-11-10,Cure,1997,https://letterboxd.com/film/cure/
2017-11-11,Ichi the Killer,2001,https://letterboxd.com/film/ichi-the-killer/
2017-11-11,Only the Brave,2017,https://letterboxd.com/film/only-the-brave-2017/
2017-11-11,The Jerk,1979,https://letterboxd.com/film/the-jerk/
2017-11-11,Atomic Blonde,2017,https://letterboxd.com/film/atomic-blonde/
2017-11-12,The Illusionist,2010,https://letterboxd.com/film/the-illusionist-2010/
2017-11-14,"Salò, or the 120 Days of Sodom",1975,https://letterboxd.com/film/salo-or-the-120-days-of-sodom/
2017-11-14,Memories,1995,https://letterboxd.com/film/memories/
2017-11-14,28 Days Later,2002,https://letterboxd.com/film/28-days-later/
2017-11-17,Brawl in Cell Block 99,2017,https://letterboxd.com/film/brawl-in-cell-block-99/
2017-11-19,Lasagna Cat - Telephone Sex Survey Results,2017,https://letterboxd.com/film/lasagna-cat-telephone-sex-survey-results/
2017-11-19,The Place Beyond the Pines,2012,https://letterboxd.com/film/the-place-beyond-the-pines/
2017-11-19,The Hobbit,1977,https://letterboxd.com/film/the-hobbit/
2017-11-20,The Ambassador,2011,https://letterboxd.com/film/the-ambassador/
2017-11-20,The Red Chapel,2009,https://letterboxd.com/film/the-red-chapel/
2017-11-21,Crumb,1994,https://letterboxd.com/film/crumb/
2017-11-21,It's Such a Beautiful Day,2012,https://letterboxd.com/film/its-such-a-beautiful-day/
2017-11-22,Inherent Vice,2014,https://letterboxd.com/film/inherent-vice/
2017-11-23,Leon: The Professional,1994,https://letterboxd.com/film/leon-the-professional/
2017-11-23,The Third Man,1949,https://letterboxd.com/film/the-third-man/
2017-11-25,The Life and Death of Colonel Blimp,1943,https://letterboxd.com/film/the-life-and-death-of-colonel-blimp/
2017-11-25,A Quiet Place,2018,https://letterboxd.com/film/a-quiet-place-2018/
2017-11-26,Monsters,2010,https://letterboxd.com/film/monsters/
2017-11-28,Casablanca,1942,https://letterboxd.com/film/casablanca/
2017-11-28,The Wailing,2016,https://letterboxd.com/film/the-wailing/
2017-11-29,Elite Squad,2007,https://letterboxd.com/film/elite-squad/
2017-11-29,City of God,2002,https://letterboxd.com/film/city-of-god/
2017-12-01,Chungking Express,1994,https://letterboxd.com/film/chungking-express/
2017-12-03,Caddyshack,1980,https://letterboxd.com/film/caddyshack/
2017-12-06,The Rules of the Game,1939,https://letterboxd.com/film/the-rules-of-the-game/
2017-12-09,Late Spring,1949,https://letterboxd.com/film/late-spring/
2017-12-09,Early Summer,1951,https://letterboxd.com/film/early-summer/
2017-12-11,Gummo,1997,https://letterboxd.com/film/gummo/
2017-12-11,Phantom Thread,2017,https://letterboxd.com/film/phantom-thread/
2017-12-12,Columbus,2017,https://letterboxd.com/film/columbus-2017/
2017-12-12,Henry: Portrait of a Serial Killer,1986,https://letterboxd.com/film/henry-portrait-of-a-serial-killer/
2017-12-13,Twin Peaks: Fire Walk with Me,1992,https://letterboxd.com/film/twin-peaks-fire-walk-with-me/
2017-12-13,Rubber,2010,https://letterboxd.com/film/film:19619/
